id, name, scryfall_uri, released_at, uri, 
dc2e1a93-4b5c-4f89-9e11-1693dee64b63, Court Cleric, https://scryfall.com/card/m19/283/court-cleric?utm_source=api, 2018-07-13, https://api.scryfall.com/cards/dc2e1a93-4b5c-4f89-9e11-1693dee64b63, 
69202217-ef36-4d6c-bbd0-ebbb2ade51f7, Demotion, https://scryfall.com/card/grn/9/demotion?utm_source=api, 2018-10-05, https://api.scryfall.com/cards/69202217-ef36-4d6c-bbd0-ebbb2ade51f7, 
396bdd5f-2aad-48ba-a4b1-f2b2365a1a53, Beckon Apparition, https://scryfall.com/card/uma/211/beckon-apparition?utm_source=api, 2018-12-07, https://api.scryfall.com/cards/396bdd5f-2aad-48ba-a4b1-f2b2365a1a53, 
070f0a21-8e06-46ec-9d84-c65067b23893, Elite Arrester, https://scryfall.com/card/rna/266/elite-arrester?utm_source=api, 2019-01-25, https://api.scryfall.com/cards/070f0a21-8e06-46ec-9d84-c65067b23893, 
357513b9-0505-4b67-9a29-36a705a175b1, Charmed Stray, https://scryfall.com/card/war/8/charmed-stray?utm_source=api, 2019-05-03, https://api.scryfall.com/cards/357513b9-0505-4b67-9a29-36a705a175b1, 
6072d9b0-d3c7-46f4-bd24-095bb13c4dea, Deafening Silence, https://scryfall.com/card/eld/10/deafening-silence?utm_source=api, 2019-10-04, https://api.scryfall.com/cards/6072d9b0-d3c7-46f4-bd24-095bb13c4dea, 
4c6ee4eb-70b2-4f99-9d54-5caf2d3713be, Beloved Princess, https://scryfall.com/card/eld/7/beloved-princess?utm_source=api, 2019-10-04, https://api.scryfall.com/cards/4c6ee4eb-70b2-4f99-9d54-5caf2d3713be, 
36c8c075-9597-412e-9fc4-9d73b4405d12, Alseid of Life's Bounty, https://scryfall.com/card/thb/1/alseid-of-lifes-bounty?utm_source=api, 2020-01-24, https://api.scryfall.com/cards/36c8c075-9597-412e-9fc4-9d73b4405d12, 
d25ff6aa-a01d-49f2-926f-8f5457143b5c, Adorable Kitten, https://scryfall.com/card/und/1/adorable-kitten?utm_source=api, 2020-02-29, https://api.scryfall.com/cards/d25ff6aa-a01d-49f2-926f-8f5457143b5c, 
5c23869b-c99a-49dd-9e29-fcc0eb63fad1, Defiant Strike, https://scryfall.com/card/m21/15/defiant-strike?utm_source=api, 2020-07-03, https://api.scryfall.com/cards/5c23869b-c99a-49dd-9e29-fcc0eb63fad1, 
9c977c67-b0c0-40b0-b129-28de094aaf40, Anointed Chorister, https://scryfall.com/card/m21/4/anointed-chorister?utm_source=api, 2020-07-03, https://api.scryfall.com/cards/9c977c67-b0c0-40b0-b129-28de094aaf40, 
8bc7fdf0-3e1e-487c-833d-7c74aa02c0c1, Cloudshift, https://scryfall.com/card/jmp/97/cloudshift?utm_source=api, 2020-07-17, https://api.scryfall.com/cards/8bc7fdf0-3e1e-487c-833d-7c74aa02c0c1, 
